sno,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,Man_of_Match,venue,F_umpire,S_Umpire,
471,2015,Mumbai,17/04/15,MI,CSK,MI,bat,normal,N,CSK,0,6,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus,
472,2015,Visakhapatnam,18/04/15,DD,SH,DD,bat,normal,N,DD,4,0,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,
473,2015,Pune,18/04/15,KXIP,KKR,KKR,field,normal,N,KKR,0,4,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan,
474,2015,Ahmedabad,19/04/15,CSK,RR,CSK,bat,normal,N,RR,0,8,AM Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus,
475,2015,Bangalore,19/04/15,MI,RCB,RCB,field,normal,N,MI,18,0,Harbhajan Singh,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,
476,2015,Delhi,20/04/15,DD,KKR,KKR,field,normal,N,KKR,0,6,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney,
477,2015,Ahmedabad,21/04/15,RR,KXIP,KXIP,field,tie,N,KXIP,0,0,SE Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,
478,2015,Visakhapatnam,22/04/15,SH,KKR,KKR,field,normal,N,SH,16,0,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth,VA Kulkarni,
479,2015,Bangalore,22/04/15,CSK,RCB,RCB,field,normal,N,CSK,27,0,SK Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin,
480,2015,Delhi,23/04/15,DD,MI,MI,field,normal,N,DD,37,0,SS Iyer,Feroz Shah Kotla,SD Fry,CK Nandan,
481,2015,Ahmedabad,24/04/15,RR,RCB,RCB,field,normal,N,RCB,0,9,MA Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,
